Strain,PlantNumber,Branch,Week,Score
IVIA6629,4,2,9,0
IVIA6629,5,2,1,0
IVIA6629,5,2,2,0
IVIA6629,5,2,3,0
IVIA6629,5,2,4,0
IVIA6629,5,2,5,0
IVIA6629,5,2,6,0
IVIA6629,5,2,7,0
IVIA6629,5,2,8,0
IVIA6629,5,2,9,0
IVIA6629,6,2,1,0
IVIA6629,6,2,2,0
IVIA6629,6,2,3,0
IVIA6629,6,2,4,0
IVIA6629,6,2,5,1
IVIA6629,6,2,6,2
IVIA6629,6,2,7,1
IVIA6629,6,2,8,1
IVIA6629,6,2,9,1
IVIA6629,7,2,1,0
IVIA6629,7,2,2,0
IVIA6629,7,2,3,0
IVIA6629,7,2,4,0
IVIA6629,7,2,5,0
IVIA6629,7,2,6,0
IVIA6629,7,2,7,0
IVIA6629,7,2,8,1
IVIA6629,7,2,9,1
XYL1966,1,2,1,0
XYL1966,1,2,2,0
XYL1966,1,2,3,0
XYL1966,1,2,4,0
XYL1966,1,2,5,1
XYL1966,1,2,6,3
XYL1966,1,2,7,4
XYL1966,1,2,8,3
XYL1966,1,2,9,4
XYL1966,2,2,1,0
XYL1966,2,2,2,1
XYL1966,2,2,3,2
XYL1966,2,2,4,3
XYL1966,2,2,5,4
XYL1966,2,2,6,4
XYL1966,2,2,7,4
XYL1966,2,2,8,5
XYL1966,2,2,9,5
XYL1966,3,2,1,0
XYL1966,3,2,2,1
XYL1966,3,2,3,1
XYL1966,3,2,4,4
XYL1966,3,2,5,4
XYL1966,3,2,6,4
XYL1966,3,2,7,4
XYL1966,3,2,8,5
XYL1966,3,2,9,6
XYL1966,4,2,1,0
XYL1966,4,2,2,0
XYL1966,4,2,3,0
XYL1966,4,2,4,0
XYL1966,4,2,5,1
XYL1966,4,2,6,2
XYL1966,4,2,7,2
XYL1966,4,2,8,4
XYL1966,4,2,9,4
XYL1966,5,2,1,1
XYL1966,5,2,2,1
XYL1966,5,2,3,1
XYL1966,5,2,4,3
XYL1966,5,2,5,3
XYL1966,5,2,6,4
XYL1966,5,2,7,4
XYL1966,5,2,8,6
XYL1966,5,2,9,6
XYL1966,6,2,1,0
XYL1966,6,2,2,0
XYL1966,6,2,3,0
XYL1966,6,2,4,0
XYL1966,6,2,5,1
XYL1966,6,2,6,3
XYL1966,6,2,7,0
XYL1966,6,2,8,3
XYL1966,6,2,9,3
XYL1966,7,2,1,0
XYL1966,7,2,2,0
XYL1966,7,2,3,0
XYL1966,7,2,4,2
XYL1966,7,2,5,3
XYL1966,7,2,6,4
XYL1966,7,2,7,3
XYL1966,7,2,8,4
XYL1966,7,2,9,4
CO33,1,2,1,0
CO33,1,2,2,0
CO33,1,2,3,1
CO33,1,2,4,1
CO33,1,2,5,2
CO33,1,2,6,2
CO33,1,2,7,1
CO33,1,2,8,1
CO33,1,2,9,1
CO33,2,2,1,0
CO33,2,2,2,0
CO33,2,2,3,1
CO33,2,2,4,1
CO33,2,2,5,1
CO33,2,2,6,2
CO33,2,2,7,2
CO33,2,2,8,2
CO33,2,2,9,2
CO33,3,2,1,0
CO33,3,2,2,0
CO33,3,2,3,0
CO33,3,2,4,0
CO33,3,2,5,1
CO33,3,2,6,1
CO33,3,2,7,1
CO33,3,2,8,1
CO33,3,2,9,1
CO33,4,2,1,0
CO33,4,2,2,0
CO33,4,2,3,1
CO33,4,2,4,1
CO33,4,2,5,2
CO33,4,2,6,0
CO33,4,2,7,1
CO33,4,2,8,1
CO33,4,2,9,1
CO33,5,2,1,0
CO33,5,2,2,0
CO33,5,2,3,0
CO33,5,2,4,1
CO33,5,2,5,1
CO33,5,2,6,1
CO33,5,2,7,1
CO33,5,2,8,1
CO33,5,2,9,1
CO33,6,2,1,0
CO33,6,2,2,0
CO33,6,2,3,0
CO33,6,2,4,0
CO33,6,2,5,1
CO33,6,2,6,0
CO33,6,2,7,1
CO33,6,2,8,0
CO33,6,2,9,0
CO33,7,2,1,0
CO33,7,2,2,0
CO33,7,2,3,0
CO33,7,2,4,2
CO33,7,2,5,2
CO33,7,2,6,2
CO33,7,2,7,2
CO33,7,2,8,2
CO33,7,2,9,2
AlmaReb1,1,2,1,0
AlmaReb1,1,2,2,0
AlmaReb1,1,2,3,0
AlmaReb1,1,2,4,0
AlmaReb1,1,2,5,0
AlmaReb1,1,2,6,0
AlmaReb1,1,2,7,0
AlmaReb1,1,2,8,0
AlmaReb1,1,2,9,0
AlmaReb1,2,2,1,0
AlmaReb1,2,2,2,0
AlmaReb1,2,2,3,0
AlmaReb1,2,2,4,0
AlmaReb1,2,2,5,0
AlmaReb1,2,2,6,0
AlmaReb1,2,2,7,0
AlmaReb1,2,2,8,0
AlmaReb1,2,2,9,0
AlmaReb1,3,2,1,0
AlmaReb1,3,2,2,0
AlmaReb1,3,2,3,0
AlmaReb1,3,2,4,1
AlmaReb1,3,2,5,0
AlmaReb1,3,2,6,0
AlmaReb1,3,2,7,0
AlmaReb1,3,2,8,0
AlmaReb1,3,2,9,1
AlmaReb1,4,2,1,0
AlmaReb1,4,2,2,0
AlmaReb1,4,2,3,0
AlmaReb1,4,2,4,0
AlmaReb1,4,2,5,0
AlmaReb1,4,2,6,0
AlmaReb1,4,2,7,0
AlmaReb1,4,2,8,0
AlmaReb1,4,2,9,0
Med1,1,2,1,0
Med1,1,2,2,0
Med1,1,2,3,1
Med1,1,2,4,0
Med1,1,2,5,0
Med1,1,2,6,0
Med1,1,2,7,0
Med1,1,2,8,0
Med1,1,2,9,0
Med1,2,2,1,0
Med1,2,2,2,0
Med1,2,2,3,1
Med1,2,2,4,1
Med1,2,2,5,1
Med1,2,2,6,1
Med1,2,2,7,1
Med1,2,2,8,1
Med1,2,2,9,1
Med1,3,2,1,0
Med1,3,2,2,0
Med1,3,2,3,0
Med1,3,2,4,1
Med1,3,2,5,1
Med1,3,2,6,1
Med1,3,2,7,1
Med1,3,2,8,1
Med1,3,2,9,1
Med1,4,2,1,0
Med1,4,2,2,0
Med1,4,2,3,0
Med1,4,2,4,1
Med1,4,2,5,1
Med1,4,2,6,1
Med1,4,2,7,1
Med1,4,2,8,1
Med1,4,2,9,1
Med1,5,2,1,0
Med1,5,2,2,0
Med1,5,2,3,0
Med1,5,2,4,0
Med1,5,2,5,0
Med1,5,2,6,0
Med1,5,2,7,0
Med1,5,2,8,0
Med1,5,2,9,1
AlmaReb3,1,2,1,0
AlmaReb3,1,2,2,1
AlmaReb3,1,2,3,0
AlmaReb3,1,2,4,0
AlmaReb3,1,2,5,4
AlmaReb3,1,2,6,2
AlmaReb3,1,2,7,2
AlmaReb3,1,2,8,3
AlmaReb3,1,2,9,3
AlmaReb3,2,2,1,0
AlmaReb3,2,2,2,0
AlmaReb3,2,2,3,1
AlmaReb3,2,2,4,3
AlmaReb3,2,2,5,3
AlmaReb3,2,2,6,3
AlmaReb3,2,2,7,3
AlmaReb3,2,2,8,5
AlmaReb3,2,2,9,6
AlmaReb3,3,2,1,0
AlmaReb3,3,2,2,1
AlmaReb3,3,2,3,1
AlmaReb3,3,2,4,3
AlmaReb3,3,2,5,3
AlmaReb3,3,2,6,3
AlmaReb3,3,2,7,4
AlmaReb3,3,2,8,6
AlmaReb3,3,2,9,6
AlmaReb3,4,2,1,0
AlmaReb3,4,2,2,1
AlmaReb3,4,2,3,2
AlmaReb3,4,2,4,3
AlmaReb3,4,2,5,4
AlmaReb3,4,2,6,5
AlmaReb3,4,2,7,5
AlmaReb3,4,2,8,5
AlmaReb3,4,2,9,5
AlmaReb3,5,2,1,1
AlmaReb3,5,2,2,1
AlmaReb3,5,2,3,0
AlmaReb3,5,2,4,1
AlmaReb3,5,2,5,3
AlmaReb3,5,2,6,5
AlmaReb3,5,2,7,4
AlmaReb3,5,2,8,6
AlmaReb3,5,2,9,6
